target,ra,dec
1031,289.866855,-29.968896
1032,290.308978,-58.670275
1036,291.259097,50.7204953
1037,291.625904,41.5513839
1038,291.952016,73.9670719
1040,292.557498,34.1804257
1041,293.446495,32.9072071
1042,294.387614,-6.2180018
1043,294.518313,-51.163818
1045,295.062992,-30.264242
1046,295.669105,-10.323637
1047,295.984335,21.3063851
1049,296.830655,44.8283651
1051,298.065828,2.5067148
1057,299.868227,40.7339116
1058,299.9993,65.1485285
1060,300.23239,-18.174274
1062,301.638999,56.3435846
1063,301.741371,-34.548519
1064,302.195379,-61.099952
1065,302.355826,-48.831577
1066,302.582341,-25.399819
1067,302.572605,48.0059383
1068,302.815474,-15.777862
1070,303.746925,25.383657
1071,303.86989,37.1832977
1072,304.505414,-55.65875
1073,304.661383,40.6833243
1074,305.454294,44.0109123
1075,306.008863,-2.7590708
1076,306.732965,-2.2777102
1077,307.120373,25.7233823
1078,307.380131,-61.8191
1079,307.673809,-75.545314
1082,308.383462,21.7728948
1083,308.580333,-9.766389
1084,308.773539,26.0583266
1085,308.991172,-50.192286
1087,310.065782,-51.429687
1088,310.655434,75.1340134
1089,311.017734,28.5526308
1090,311.040636,-10.723539
1091,312.112497,38.1903626
1092,313.009818,-57.068756
1093,314.068185,-47.246567
1094,314.174892,49.6715329
1096,315.004153,43.036367
1097,315.599127,-28.174635
1099,317.291561,-9.6707718
1100,317.382809,35.5493408
1102,318.504777,82.0800919
1104,319.042957,25.2836558
1105,319.448755,51.6491052
1106,319.871366,33.5491696
1108,320.935787,25.0743855
1110,321.163983,50.9738487
1111,321.939155,56.9430461
1112,322.300761,-15.644765
1114,323.00919,-33.714948
1116,323.688071,-27.432078
1117,323.975108,47.4727509
1118,324.096269,-62.400159
1119,324.219637,-64.634381
1120,324.438318,-14.548818
1121,324.639303,32.0849447
1122,324.937337,59.8375222
1125,326.386735,11.0486316
1126,327.022753,6.9607346
1127,327.081366,-34.951248
1128,327.49196,-18.989947
1129,327.981347,-30.464872
1130,329.063469,17.3812736
1131,329.274942,-69.689906
1132,329.361597,-6.1715626
1133,330.172292,10.5522395
1134,330.431401,50.8157
1135,330.507894,-31.869591
1136,330.680388,42.2777548
1137,330.812421,31.7606397
1138,331.079853,3.5642181
1139,331.75831,10.2336449
1141,332.281946,-27.809469
1142,332.31755,-47.166696
1143,332.974532,18.6971891
1145,333.538257,-25.963728
1146,334.301105,14.2391405
1149,334.9573,26.2244447
1150,335.937575,11.8358787
1151,335.956423,-2.1035701
1152,336.774045,36.3615834
1153,337.307752,66.7809666
1154,337.417018,-8.5484512
1155,338.151714,11.730796
1156,338.70762,-25.676951
1157,338.942507,-26.050436
1158,339.014923,33.9758366
1160,339.137003,25.7631543
1161,339.193721,-12.545223
1162,340.071133,8.0537689
1163,340.639112,-37.185442
1164,340.588956,-45.652581
1165,341.453007,39.6877556
1166,342.171569,-51.164812
1167,342.184758,17.4509405
1168,342.715478,-8.9157826
1169,342.972916,22.2937405
1170,342.946381,-32.104375
1171,343.490612,16.1482502
1172,343.524522,-17.582035
1173,343.681327,11.7141072
1174,343.581956,11.7825716
1176,344.151909,5.4214047
1177,344.730478,40.9323316
1178,344.887169,24.9183046
1179,345.400957,-59.22251
1180,345.504003,15.964772
1181,345.762391,-18.690501
1182,345.815059,8.8739169
1183,346.181173,-8.6857273
1184,346.235967,12.322961
1185,346.762144,4.5491767
1186,346.9536,22.7103453
1187,346.988579,40.2775306
1188,349.598445,-42.370422
1189,349.736066,0.2438751
1191,350.152448,64.5124415
1192,350.601969,-6.7605575
1194,351.350833,-38.446978
1195,351.476032,21.8871903
1196,351.841539,15.4103698
1197,351.889909,9.6693623
1198,352.266318,3.5332999
1199,352.657037,71.3796142
1200,353.480141,-23.727957
1202,355.481134,30.5817731
1203,355.998174,5.6398993
1204,356.182952,-42.720117
1205,356.770143,51.7049725
1206,357.983841,-1.1536892
1207,358.092058,58.7585384
1208,358.214243,-17.076995
1209,359.782919,-30.62796
1210,359.767938,-60.91644
1211,0.1205027,32.7823478
1212,1.335044,-74.444476
1213,1.7917291,0.8913931
1214,1.7782261,-41.3555856
1216,10.8573248,-50.182847
1217,11.5739568,-42.130961
1218,11.830806,14.7034833
1219,12.612685,82.4835626
1220,13.3190671,66.5091421
1221,14.2913935,14.7694919
1223,15.5513878,42.5573328
1224,18.9603304,25.2602332
1225,19.774523,16.0827411
1226,20.1794477,-14.732102
1227,22.0854053,-56.827664
1228,22.8611729,-10.158404
1229,26.2641464,-27.55952
1231,26.9136908,-66.163175
1232,28.4636,-50.5293
1233,28.8818585,-30.76438
1234,29.0912222,44.7090168
1235,29.2416952,-53.033334
1237,30.1699274,3.3800763
1238,30.2892511,50.5072128
1239,31.3331116,-2.5516156
1240,36.609,59.4647
1241,37.8949549,36.1807395
1242,38.3431565,27.9370482
1243,38.4550232,2.4903068
1244,41.1679231,-58.331833
1245,42.1483308,12.008676
1246,42.7306165,-36.276604
1247,43.148472,-13.104093
1248,44.9700141,24.9028619
1249,44.9941293,36.8204985
1250,45.0333478,16.5039997
1251,45.5548995,-23.588812
1252,45.5899843,68.9188097
1253,45.6195376,-24.455769
1254,46.1723982,33.8121331
1255,46.5251757,-39.036343
1256,46.4021542,76.3822936
1257,47.602241,39.1827686
1258,47.8109361,-8.9218461
1259,48.3534532,-35.107303
1260,48.9670796,-19.112301
1261,49.1646969,15.9097469
1262,51.202866,-3.0422543
1263,51.2706271,-12.308065
1264,51.355698,-6.1438938
1265,51.951197,-52.935427
1266,52.2929159,-22.0212
1267,58.9982563,-61.074524
1268,59.1385596,-66.0406901
1269,59.7268443,10.4341148
1270,60.7008086,1.965967
1271,61.9517856,-12.193508
1272,63.1648424,58.421719
1273,65.5021704,48.9343392
1274,66.7678303,7.2754572
1275,67.1684098,-37.938718
1276,70.1484545,-65.130168
1277,72.7000372,30.2507871
1278,76.6997707,-19.614104
1279,79.159471,-51.780371
1281,83.6287423,-60.270978
1282,84.7098393,-44.085813
1284,86.6743002,-64.256092
1285,86.7749196,37.874941
1286,87.6646528,-23.188214
1289,92.2044533,-54.945222
1290,94.03309533,-3.11356817
1291,95.4788079,-52.242954
1293,97.4525973,-83.7393551
1294,98.0048445,-54.082637
1295,99.1343765,-20.58143
1296,99.1424202,59.2219012
1297,99.9198599,-51.420703
1298,100.029952,-12.88752
1299,100.463035,-3.3467953
1302,102.536042,60.8457995
1303,104.1241395,-65.5604616
1305,104.908719,54.196556
1306,106.107307,42.2369827
1307,107.7729,31.9708
1308,110.472752,71.3434297
1309,110.57309,30.5139315
1310,110.6799402,21.5130803
1311,111.600858,-46.349237
1312,112.097446,-44.140053
1313,113.349066,44.2468951
1314,116.212347,-23.837629
1315,117.461965,33.9620364
1316,118.855393,39.1860854
1317,120.38319,47.604465
1318,120.433377,57.1234129
1319,124.212949,18.0471659
1321,124.584403,-14.431298
1322,124.797241,-38.553067
1323,125.784545,42.255837
1326,128.888798,-9.0917615
1327,128.911681,-4.0883159
1329,129.163373,-20.283202
1330,129.2454528,44.4339775
1332,129.545598,24.8952823
1333,129.700629,4.1261185
1334,129.7469734,26.1369691
1335,130.5108634,-28.9213467
1336,130.515576,40.3087075
1337,131.24295,30.943989
1338,131.725432,25.3701984
1339,131.926863,34.7512419
1341,133.062971,7.8933756
1343,133.948573,0.7942328
1345,134.762072,48.7692666
1346,135.153613,20.8945609
1347,135.4052505,-64.2742183
1349,138.813379,-75.397206
1350,138.521215,40.1137057
1352,140.810245,38.8277365
1354,142.656555,49.8404526
1355,143.625784,-17.355828
1356,145.254325,-38.797522
1357,145.591976,-41.815746
1358,146.3301046,2.526574
1359,146.827024,13.7555273
1360,147.1599448,40.5121683
1361,148.664358,37.4085774
1363,149.9029,-28.331309
1364,150.529322,3.0576925
1365,151.307501,-62.867414
1367,152.22894,37.6582906
1368,153.015197,23.0857253
1369,154.223633,73.4007444
1370,154.802296,63.9673923
1371,156.131069,-23.552962
1372,156.304361,67.2971854
1373,159.265693,-11.440121
1374,160.436011,-47.666653
1375,161.095933,80.9109406
1376,161.6342258,54.5999283
1377,162.140943,-39.043888
1378,164.307871,-47.669756
1379,164.454613,-30.496715
1380,165.338936,-51.819383
1381,166.057751,76.9828333
1382,166.4124534,2.0492892
1383,166.7014089,48.1200713
1384,166.9494002,71.09234701
1385,169.276626,44.2259313
1386,169.266817,-29.041813
1388,169.786154,21.3216725
1389,170.328096,-5.3930448
1390,171.847674,-29.257592
1391,171.891356,-53.340792
1392,172.769872,68.8647149
1393,176.1377513,61.5335655
1394,176.623051,74.3580505
1395,176.973433,9.764528
1396,178.216307,33.1218919
1397,178.3498898,58.5273729
1398,179.882644,29.2455112
1399,181.942155,43.1263636
